Date	Item	# of 1	# of 2	# of 3	# of 4	# of 5
2009-11-20	Friday	MjAwOTAzMDYwMDI5ODc=	1	1	1	0	1
2009-11-27	Friday	MjAwOTAzMDYwMDI5ODc=	0	0	1	2	1
2009-12-04	Friday	MjAwOTAzMDYwMDI5ODc=	4	0	2	4	2
2009-12-11	Friday	MjAwOTAzMDYwMDI5ODc=	1	0	0	5	3
2009-12-18	Friday	MjAwOTAzMDYwMDI5ODc=	2	2	3	2	3
2009-01-02	Friday	MjAwOTA5MTAwMDE2MDk=	0	1	0	2	0
2009-01-09	Friday	MjAwOTA5MTAwMDE2MDk=	4	1	2	4	0
2009-01-16	Friday	MjAwOTA5MTAwMDE2MDk=	1	1	3	2	1
2009-01-23	Friday	MjAwOTA5MTAwMDE2MDk=	5	0	3	2	2
2009-01-30	Friday	MjAwOTA5MTAwMDE2MDk=	2	4	2	5	0
2009-02-06	Friday	MjAwOTA5MTAwMDE2MDk=	2	2	1	1	4
2009-02-13	Friday	MjAwOTA5MTAwMDE2MDk=	1	4	3	2	3
2009-02-20	Friday	MjAwOTA5MTAwMDE2MDk=	2	4	1	5	2
2009-02-27	Friday	MjAwOTA5MTAwMDE2MDk=	2	4	6	2	2
2009-03-06	Friday	MjAwOTA5MTAwMDE2MDk=	5	0	3	0	1
2009-03-13	Friday	MjAwOTA5MTAwMDE2MDk=	3	3	3	1	4
2009-03-20	Friday	MjAwOTA5MTAwMDE2MDk=	1	2	3	3	2
2009-03-27	Friday	MjAwOTA5MTAwMDE2MDk=	2	4	1	1	0
2009-04-03	Friday	MjAwOTA5MTAwMDE2MDk=	4	1	1	3	1
2009-04-10	Friday	MjAwOTA5MTAwMDE2MDk=	0	0	3	0	0
2009-04-17	Friday	MjAwOTA5MTAwMDE2MDk=	2	5	5	2	1
2009-04-24	Friday	MjAwOTA5MTAwMDE2MDk=	1	2	5	3	2
2009-05-01	Friday	MjAwOTA5MTAwMDE2MDk=	0	4	1	6	1
2009-05-08	Friday	MjAwOTA5MTAwMDE2MDk=	4	3	3	2	4
2009-05-15	Friday	MjAwOTA5MTAwMDE2MDk=	3	5	5	2	4
2009-05-22	Friday	MjAwOTA5MTAwMDE2MDk=	2	1	1	1	3
2009-05-29	Friday	MjAwOTA5MTAwMDE2MDk=	2	0	4	2	4
2009-06-05	Friday	MjAwOTA5MTAwMDE2MDk=	1	2	1	1	2
2009-06-12	Friday	MjAwOTA5MTAwMDE2MDk=	4	4	0	4	3
2009-06-19	Friday	MjAwOTA5MTAwMDE2MDk=	0	6	0	2	0
2009-06-26	Friday	MjAwOTA5MTAwMDE2MDk=	3	7	5	3	3
2009-07-03	Friday	MjAwOTA5MTAwMDE2MDk=	0	2	1	2	0
2009-07-10	Friday	MjAwOTA5MTAwMDE2MDk=	2	2	0	2	1
2009-07-17	Friday	MjAwOTA5MTAwMDE2MDk=	2	5	3	2	2
2009-07-24	Friday	MjAwOTA5MTAwMDE2MDk=	2	2	3	1	3
2009-07-31	Friday	MjAwOTA5MTAwMDE2MDk=	3	2	2	1	3
2009-08-07	Friday	MjAwOTA5MTAwMDE2MDk=	2	0	4	2	3
2009-08-14	Friday	MjAwOTA5MTAwMDE2MDk=	2	0	3	2	2
2009-08-21	Friday	MjAwOTA5MTAwMDE2MDk=	4	1	2	2	1
2009-08-28	Friday	MjAwOTA5MTAwMDE2MDk=	3	1	5	2	2
2009-09-04	Friday	MjAwOTA5MTAwMDE2MDk=	3	1	3	1	0
2009-09-11	Friday	MjAwOTA5MTAwMDE2MDk=	0	2	1	1	0
2009-09-18	Friday	MjAwOTA5MTAwMDE2MDk=	5	1	1	0	0
2009-09-25	Friday	MjAwOTA5MTAwMDE2MDk=	3	1	2	1	1
2009-10-02	Friday	MjAwOTA5MTAwMDE2MDk=	1	0	2	1	0
2009-10-09	Friday	MjAwOTA5MTAwMDE2MDk=	0	1	4	1	3
2009-10-16	Friday	MjAwOTA5MTAwMDE2MDk=	0	4	4	3	2
2009-10-23	Friday	MjAwOTA5MTAwMDE2MDk=	0	3	3	2	2
2009-10-30	Friday	MjAwOTA5MTAwMDE2MDk=	4	3	6	1	3
2009-11-06	Friday	MjAwOTA5MTAwMDE2MDk=	1	1	3	3	2
2009-11-13	Friday	MjAwOTA5MTAwMDE2MDk=	5	1	3	1	2
2009-11-20	Friday	MjAwOTA5MTAwMDE2MDk=	0	1	0	0	0
2009-11-27	Friday	MjAwOTA5MTAwMDE2MDk=	0	0	1	2	0
2009-12-04	Friday	MjAwOTA5MTAwMDE2MDk=	2	0	3	1	2
2009-12-11	Friday	MjAwOTA5MTAwMDE2MDk=	1	1	1	0	2
2009-12-18	Friday	MjAwOTA5MTAwMDE2MDk=	5	4	0	0	2
2009-12-25	Friday	MjAwOTA5MTAwMDE2MDk=	0	0	0	0	1
2009-01-02	Friday	MjAwOTA0MjAwMDU2ODE=	0	2	0	0	0
2009-01-09	Friday	MjAwOTA0MjAwMDU2ODE=	2	4	0	2	2
2009-01-16	Friday	MjAwOTA0MjAwMDU2ODE=	3	3	1	4	2
2009-01-23	Friday	MjAwOTA0MjAwMDU2ODE=	2	1	2	1	2
2009-01-30	Friday	MjAwOTA0MjAwMDU2ODE=	2	3	4	3	6
2009-02-06	Friday	MjAwOTA0MjAwMDU2ODE=	4	2	1	2	3
2009-02-13	Friday	MjAwOTA0MjAwMDU2ODE=	4	1	5	2	6
2009-02-20	Friday	MjAwOTA0MjAwMDU2ODE=	1	1	5	1	1
2009-02-27	Friday	MjAwOTA0MjAwMDU2ODE=	3	6	3	2	3
2009-03-06	Friday	MjAwOTA0MjAwMDU2ODE=	1	2	1	1	1
2009-03-13	Friday	MjAwOTA0MjAwMDU2ODE=	0	1	2	0	1
2009-03-20	Friday	MjAwOTA0MjAwMDU2ODE=	1	2	2	2	0
2009-03-27	Friday	MjAwOTA0MjAwMDU2ODE=	1	6	2	3	2
2009-04-03	Friday	MjAwOTA0MjAwMDU2ODE=	0	2	1	4	2
2009-04-10	Friday	MjAwOTA0MjAwMDU2ODE=	0	0	0	1	1
2009-04-17	Friday	MjAwOTA0MjAwMDU2ODE=	4	5	3	2	2
2009-04-24	Friday	MjAwOTA0MjAwMDU2ODE=	5	5	4	1	4
2009-05-01	Friday	MjAwOTA0MjAwMDU2ODE=	2	2	4	4	3
2009-05-08	Friday	MjAwOTA0MjAwMDU2ODE=	4	3	8	3	4
2009-05-15	Friday	MjAwOTA0MjAwMDU2ODE=	2	0	2	3	3
2009-05-22	Friday	MjAwOTA0MjAwMDU2ODE=	1	3	3	0	4
2009-05-29	Friday	MjAwOTA0MjAwMDU2ODE=	4	1	1	1	1
2009-06-05	Friday	MjAwOTA0MjAwMDU2ODE=	2	3	5	2	4
2009-06-12	Friday	MjAwOTA0MjAwMDU2ODE=	2	1	2	2	2
2009-06-19	Friday	MjAwOTA0MjAwMDU2ODE=	1	1	3	0	2
2009-06-26	Friday	MjAwOTA0MjAwMDU2ODE=	2	1	0	1	1
2009-07-03	Friday	MjAwOTA0MjAwMDU2ODE=	0	3	0	1	0
2009-07-10	Friday	MjAwOTA0MjAwMDU2ODE=	1	0	2	1	4
2009-07-17	Friday	MjAwOTA0MjAwMDU2ODE=	2	1	3	1	2
2009-07-24	Friday	MjAwOTA0MjAwMDU2ODE=	0	2	4	2	2
2009-07-31	Friday	MjAwOTA0MjAwMDU2ODE=	1	4	2	5	3
2009-08-07	Friday	MjAwOTA0MjAwMDU2ODE=	4	2	4	3	0
2009-08-14	Friday	MjAwOTA0MjAwMDU2ODE=	2	1	1	2	2
2009-08-21	Friday	MjAwOTA0MjAwMDU2ODE=	4	3	1	1	2
2009-08-28	Friday	MjAwOTA0MjAwMDU2ODE=	5	1	2	0	0
2009-09-04	Friday	MjAwOTA0MjAwMDU2ODE=	4	1	1	2	0
2009-09-11	Friday	MjAwOTA0MjAwMDU2ODE=	2	0	2	0	3
2009-09-18	Friday	MjAwOTA0MjAwMDU2ODE=	2	4	2	1	1
2009-09-25	Friday	MjAwOTA0MjAwMDU2ODE=	3	0	5	1	3
2009-10-02	Friday	MjAwOTA0MjAwMDU2ODE=	2	3	0	4	1
2009-10-09	Friday	MjAwOTA0MjAwMDU2ODE=	2	3	1	1	1
2009-10-16	Friday	MjAwOTA0MjAwMDU2ODE=	1	3	3	0	2
2009-10-23	Friday	MjAwOTA0MjAwMDU2ODE=	0	3	0	4	1
2009-10-30	Friday	MjAwOTA0MjAwMDU2ODE=	3	4	8	2	0
2009-11-06	Friday	MjAwOTA0MjAwMDU2ODE=	1	2	2	2	3
2009-11-13	Friday	MjAwOTA0MjAwMDU2ODE=	0	1	3	0	1
2009-11-20	Friday	MjAwOTA0MjAwMDU2ODE=	1	2	1	1	0
2009-11-27	Friday	MjAwOTA0MjAwMDU2ODE=	0	1	0	1	1
2009-12-04	Friday	MjAwOTA0MjAwMDU2ODE=	1	1	5	3	1
2009-12-11	Friday	MjAwOTA0MjAwMDU2ODE=	1	1	1	2	2
2009-12-18	Friday	MjAwOTA0MjAwMDU2ODE=	2	0	2	5	2
2009-01-02	Friday	MjAwOTEyMDkwMDM4MjM=	1	2	1	2	1
2009-01-09	Friday	MjAwOTEyMDkwMDM4MjM=	3	1	3	2	1
2009-01-16	Friday	MjAwOTEyMDkwMDM4MjM=	1	2	2	1	1
2009-01-23	Friday	MjAwOTEyMDkwMDM4MjM=	1	0	0	3	3
2009-01-30	Friday	MjAwOTEyMDkwMDM4MjM=	1	5	7	1	4
2009-02-06	Friday	MjAwOTEyMDkwMDM4MjM=	3	3	2	3	5
2009-02-13	Friday	MjAwOTEyMDkwMDM4MjM=	2	1	2	2	4
2009-02-20	Friday	MjAwOTEyMDkwMDM4MjM=	0	0	2	2	2
2009-02-27	Friday	MjAwOTEyMDkwMDM4MjM=	2	4	2	1	4
2009-03-06	Friday	MjAwOTEyMDkwMDM4MjM=	3	0	3	1	2
2009-03-13	Friday	MjAwOTEyMDkwMDM4MjM=	2	4	1	0	0
2009-03-20	Friday	MjAwOTEyMDkwMDM4MjM=	1	1	0	2	1
2009-03-27	Friday	MjAwOTEyMDkwMDM4MjM=	0	2	2	3	2
2009-04-03	Friday	MjAwOTEyMDkwMDM4MjM=	2	1	3	1	1
2009-04-10	Friday	MjAwOTEyMDkwMDM4MjM=	1	1	0	2	0
2009-04-17	Friday	MjAwOTEyMDkwMDM4MjM=	1	3	5	2	2
2009-04-24	Friday	MjAwOTEyMDkwMDM4MjM=	2	2	4	5	1
2009-05-01	Friday	MjAwOTEyMDkwMDM4MjM=	1	1	3	1	2
2009-05-08	Friday	MjAwOTEyMDkwMDM4MjM=	4	1	2	2	1
2009-05-15	Friday	MjAwOTEyMDkwMDM4MjM=	3	2	0	4	2
2009-05-22	Friday	MjAwOTEyMDkwMDM4MjM=	4	7	1	3	0
2009-05-29	Friday	MjAwOTEyMDkwMDM4MjM=	3	2	1	2	3
2009-06-05	Friday	MjAwOTEyMDkwMDM4MjM=	2	3	4	1	3
2009-06-12	Friday	MjAwOTEyMDkwMDM4MjM=	3	2	2	1	5
2009-06-19	Friday	MjAwOTEyMDkwMDM4MjM=	1	3	3	1	2
2009-06-26	Friday	MjAwOTEyMDkwMDM4MjM=	2	1	4	2	2
2009-07-03	Friday	MjAwOTEyMDkwMDM4MjM=	2	2	2	2	2
2009-07-10	Friday	MjAwOTEyMDkwMDM4MjM=	2	1	2	2	1
2009-07-17	Friday	MjAwOTEyMDkwMDM4MjM=	0	3	2	2	6
2009-07-24	Friday	MjAwOTEyMDkwMDM4MjM=	0	3	5	3	1
2009-07-31	Friday	MjAwOTEyMDkwMDM4MjM=	3	7	6	2	2
2009-08-07	Friday	MjAwOTEyMDkwMDM4MjM=	4	6	2	3	2
2009-08-14	Friday	MjAwOTEyMDkwMDM4MjM=	3	2	2	1	1
2009-08-21	Friday	MjAwOTEyMDkwMDM4MjM=	1	3	2	1	2
2009-08-28	Friday	MjAwOTEyMDkwMDM4MjM=	3	5	2	1	2
2009-09-04	Friday	MjAwOTEyMDkwMDM4MjM=	0	2	0	1	1
2009-09-11	Friday	MjAwOTEyMDkwMDM4MjM=	2	1	3	1	2
2009-09-18	Friday	MjAwOTEyMDkwMDM4MjM=	2	0	4	0	0
2009-09-25	Friday	MjAwOTEyMDkwMDM4MjM=	3	3	2	2	1
2009-10-02	Friday	MjAwOTEyMDkwMDM4MjM=	1	1	1	1	1
2009-10-09	Friday	MjAwOTEyMDkwMDM4MjM=	0	3	1	1	0
2009-10-16	Friday	MjAwOTEyMDkwMDM4MjM=	4	0	1	1	3
2009-10-23	Friday	MjAwOTEyMDkwMDM4MjM=	1	1	0	2	3
2009-10-30	Friday	MjAwOTEyMDkwMDM4MjM=	1	3	7	3	6
2009-11-06	Friday	MjAwOTEyMDkwMDM4MjM=	0	1	1	2	3
2009-11-13	Friday	MjAwOTEyMDkwMDM4MjM=	0	1	3	1	1
2009-11-20	Friday	MjAwOTEyMDkwMDM4MjM=	2	1	2	0	4
2009-11-27	Friday	MjAwOTEyMDkwMDM4MjM=	0	0	2	0	2
2009-12-04	Friday	MjAwOTEyMDkwMDM4MjM=	0	2	1	3	0
2009-12-11	Friday	MjAwOTEyMDkwMDM4MjM=	3	3	0	3	2
2009-12-18	Friday	MjAwOTEyMDkwMDM4MjM=	2	0	3	1	2
2009-01-02	Friday	MjAwOTEyMjcwMDIyNzQ=	2	0	0	0	3
2009-01-09	Friday	MjAwOTEyMjcwMDIyNzQ=	2	2	3	2	2
2009-01-16	Friday	MjAwOTEyMjcwMDIyNzQ=	2	1	1	0	1
2009-01-23	Friday	MjAwOTEyMjcwMDIyNzQ=	2	2	0	2	1
2009-01-30	Friday	MjAwOTEyMjcwMDIyNzQ=	2	4	3	1	6
2009-02-06	Friday	MjAwOTEyMjcwMDIyNzQ=	5	5	1	0	1
2009-02-13	Friday	MjAwOTEyMjcwMDIyNzQ=	2	4	5	2	2
2009-02-20	Friday	MjAwOTEyMjcwMDIyNzQ=	3	2	2	0	2
2009-02-27	Friday	MjAwOTEyMjcwMDIyNzQ=	3	3	2	5	1
2009-03-06	Friday	MjAwOTEyMjcwMDIyNzQ=	1	1	4	3	3
2009-03-13	Friday	MjAwOTEyMjcwMDIyNzQ=	4	1	3	3	1
2009-03-20	Friday	MjAwOTEyMjcwMDIyNzQ=	3	4	4	2	2
2009-03-27	Friday	MjAwOTEyMjcwMDIyNzQ=	3	1	5	1	2
2009-04-03	Friday	MjAwOTEyMjcwMDIyNzQ=	1	2	1	2	2
2009-04-10	Friday	MjAwOTEyMjcwMDIyNzQ=	1	0	1	3	0
2009-04-17	Friday	MjAwOTEyMjcwMDIyNzQ=	2	2	2	2	3
2009-04-24	Friday	MjAwOTEyMjcwMDIyNzQ=	2	1	4	2	2
2009-05-01	Friday	MjAwOTEyMjcwMDIyNzQ=	1	6	1	4	3
2009-05-08	Friday	MjAwOTEyMjcwMDIyNzQ=	1	7	2	4	4
2009-05-15	Friday	MjAwOTEyMjcwMDIyNzQ=	4	0	6	2	2
2009-05-22	Friday	MjAwOTEyMjcwMDIyNzQ=	3	1	1	2	1
2009-05-29	Friday	MjAwOTEyMjcwMDIyNzQ=	4	2	4	2	0
2009-06-05	Friday	MjAwOTEyMjcwMDIyNzQ=	2	1	1	4	1
2009-06-12	Friday	MjAwOTEyMjcwMDIyNzQ=	3	3	2	2	3
2009-06-19	Friday	MjAwOTEyMjcwMDIyNzQ=	3	0	4	3	2
2009-06-26	Friday	MjAwOTEyMjcwMDIyNzQ=	2	4	1	2	3
2009-07-03	Friday	MjAwOTEyMjcwMDIyNzQ=	0	1	3	0	0
2009-07-10	Friday	MjAwOTEyMjcwMDIyNzQ=	3	1	1	1	2
2009-07-17	Friday	MjAwOTEyMjcwMDIyNzQ=	2	3	1	1	2
2009-07-24	Friday	MjAwOTEyMjcwMDIyNzQ=	3	2	0	1	3
2009-07-31	Friday	MjAwOTEyMjcwMDIyNzQ=	5	4	7	7	1
2009-08-07	Friday	MjAwOTEyMjcwMDIyNzQ=	2	5	1	3	4
2009-08-14	Friday	MjAwOTEyMjcwMDIyNzQ=	2	4	1	2	1
2009-08-21	Friday	MjAwOTEyMjcwMDIyNzQ=	1	3	1	1	2
2009-08-28	Friday	MjAwOTEyMjcwMDIyNzQ=	1	1	3	0	2
2009-09-04	Friday	MjAwOTEyMjcwMDIyNzQ=	0	0	0	1	1
2009-09-11	Friday	MjAwOTEyMjcwMDIyNzQ=	2	1	1	0	2
2009-09-18	Friday	MjAwOTEyMjcwMDIyNzQ=	2	0	5	1	0
2009-09-25	Friday	MjAwOTEyMjcwMDIyNzQ=	2	2	3	5	0
2009-10-02	Friday	MjAwOTEyMjcwMDIyNzQ=	2	2	1	1	1
2009-10-09	Friday	MjAwOTEyMjcwMDIyNzQ=	0	0	0	1	2
2009-10-16	Friday	MjAwOTEyMjcwMDIyNzQ=	1	0	1	2	1
2009-10-23	Friday	MjAwOTEyMjcwMDIyNzQ=	3	1	3	3	2
2009-10-30	Friday	MjAwOTEyMjcwMDIyNzQ=	4	3	5	2	4
2009-11-06	Friday	MjAwOTEyMjcwMDIyNzQ=	2	2	2	1	0
2009-11-13	Friday	MjAwOTEyMjcwMDIyNzQ=	0	1	0	1	2
2009-11-20	Friday	MjAwOTEyMjcwMDIyNzQ=	1	1	2	1	0
2009-11-27	Friday	MjAwOTEyMjcwMDIyNzQ=	0	0	0	2	0
2009-12-04	Friday	MjAwOTEyMjcwMDIyNzQ=	1	2	3	0	1
2009-12-11	Friday	MjAwOTEyMjcwMDIyNzQ=	2	1	6	1	1
2009-12-18	Friday	MjAwOTEyMjcwMDIyNzQ=	2	3	2	4	1
2009-01-02	Friday	MjAwOTEyMDIwMDEyOTY=	1	0	1	1	0
2009-01-09	Friday	MjAwOTEyMDIwMDEyOTY=	1	1	1	1	4
2009-01-16	Friday	MjAwOTEyMDIwMDEyOTY=	2	2	1	3	2
2009-01-23	Friday	MjAwOTEyMDIwMDEyOTY=	1	1	3	5	1
2009-01-30	Friday	MjAwOTEyMDIwMDEyOTY=	6	6	1	3	2
2009-02-06	Friday	MjAwOTEyMDIwMDEyOTY=	4	3	2	1	2
2009-02-13	Friday	MjAwOTEyMDIwMDEyOTY=	5	4	2	3	2
2009-02-20	Friday	MjAwOTEyMDIwMDEyOTY=	1	5	1	2	1
2009-02-27	Friday	MjAwOTEyMDIwMDEyOTY=	0	1	3	3	4
2009-03-06	Friday	MjAwOTEyMDIwMDEyOTY=	1	3	5	2	2
2009-03-13	Friday	MjAwOTEyMDIwMDEyOTY=	0	4	5	2	0
2009-03-20	Friday	MjAwOTEyMDIwMDEyOTY=	2	1	3	1	1
2009-03-27	Friday	MjAwOTEyMDIwMDEyOTY=	3	0	0	5	0
2009-04-03	Friday	MjAwOTEyMDIwMDEyOTY=	4	1	3	5	1
2009-04-10	Friday	MjAwOTEyMDIwMDEyOTY=	1	0	0	1	2
2009-04-17	Friday	MjAwOTEyMDIwMDEyOTY=	1	2	1	3	2
2009-04-24	Friday	MjAwOTEyMDIwMDEyOTY=	2	3	0	5	3
2009-05-01	Friday	MjAwOTEyMDIwMDEyOTY=	4	1	1	3	4
2009-05-08	Friday	MjAwOTEyMDIwMDEyOTY=	2	6	2	7	5
2009-05-15	Friday	MjAwOTEyMDIwMDEyOTY=	3	4	2	1	1
2009-05-22	Friday	MjAwOTEyMDIwMDEyOTY=	1	6	2	1	6
2009-05-29	Friday	MjAwOTEyMDIwMDEyOTY=	1	6	4	1	1
2009-06-05	Friday	MjAwOTEyMDIwMDEyOTY=	2	2	1	4	2
2009-06-12	Friday	MjAwOTEyMDIwMDEyOTY=	2	0	2	3	8
2009-06-19	Friday	MjAwOTEyMDIwMDEyOTY=	2	3	1	5	3
2009-06-26	Friday	MjAwOTEyMDIwMDEyOTY=	1	2	4	3	0
2009-07-03	Friday	MjAwOTEyMDIwMDEyOTY=	2	0	0	0	1
2009-07-10	Friday	MjAwOTEyMDIwMDEyOTY=	0	2	0	2	3
2009-07-17	Friday	MjAwOTEyMDIwMDEyOTY=	1	2	3	2	1
2009-07-24	Friday	MjAwOTEyMDIwMDEyOTY=	3	2	3	6	2
2009-07-31	Friday	MjAwOTEyMDIwMDEyOTY=	5	3	2	5	3
2009-08-07	Friday	MjAwOTEyMDIwMDEyOTY=	2	1	1	1	0
2009-08-14	Friday	MjAwOTEyMDIwMDEyOTY=	2	3	1	4	3
2009-08-21	Friday	MjAwOTEyMDIwMDEyOTY=	4	2	1	3	2
2009-08-28	Friday	MjAwOTEyMDIwMDEyOTY=	0	5	3	1	1
2009-09-04	Friday	MjAwOTEyMDIwMDEyOTY=	0	0	1	0	2
2009-09-11	Friday	MjAwOTEyMDIwMDEyOTY=	1	3	3	0	2
2009-09-18	Friday	MjAwOTEyMDIwMDEyOTY=	3	0	2	2	1
2009-09-25	Friday	MjAwOTEyMDIwMDEyOTY=	0	1	3	1	1
2009-10-02	Friday	MjAwOTEyMDIwMDEyOTY=	0	2	0	2	1
2009-10-09	Friday	MjAwOTEyMDIwMDEyOTY=	0	2	1	1	0
2009-10-16	Friday	MjAwOTEyMDIwMDEyOTY=	2	3	5	2	3
2009-10-23	Friday	MjAwOTEyMDIwMDEyOTY=	1	3	0	4	2
2009-10-30	Friday	MjAwOTEyMDIwMDEyOTY=	2	2	2	5	2
2009-11-06	Friday	MjAwOTEyMDIwMDEyOTY=	1	1	1	1	0
2009-11-13	Friday	MjAwOTEyMDIwMDEyOTY=	1	2	0	0	1
2009-11-20	Friday	MjAwOTEyMDIwMDEyOTY=	1	2	1	1	5
2009-11-27	Friday	MjAwOTEyMDIwMDEyOTY=	0	0	0	1	0
2009-12-04	Friday	MjAwOTEyMDIwMDEyOTY=	2	2	2	2	1
2009-12-11	Friday	MjAwOTEyMDIwMDEyOTY=	1	4	1	3	2
2009-12-18	Friday	MjAwOTEyMDIwMDEyOTY=	0	3	5	0	1
2009-01-02	Friday	MjAwOTEyMTcwMTMwNzA=	1	0	0	0	2
2009-01-09	Friday	MjAwOTEyMTcwMTMwNzA=	1	2	1	0	2
2009-01-16	Friday	MjAwOTEyMTcwMTMwNzA=	3	3	1	2	1
2009-01-23	Friday	MjAwOTEyMTcwMTMwNzA=	1	1	2	1	1
2009-01-30	Friday	MjAwOTEyMTcwMTMwNzA=	3	3	3	2	3
2009-02-06	Friday	MjAwOTEyMTcwMTMwNzA=	7	1	1	3	2
2009-02-13	Friday	MjAwOTEyMTcwMTMwNzA=	2	2	1	4	4
2009-02-20	Friday	MjAwOTEyMTcwMTMwNzA=	3	0	2	6	3
2009-02-27	Friday	MjAwOTEyMTcwMTMwNzA=	5	1	6	5	1
2009-03-06	Friday	MjAwOTEyMTcwMTMwNzA=	5	2	1	4	0
2009-03-13	Friday	MjAwOTEyMTcwMTMwNzA=	2	4	2	1	1
2009-03-20	Friday	MjAwOTEyMTcwMTMwNzA=	1	7	1	0	3
2009-03-27	Friday	MjAwOTEyMTcwMTMwNzA=	1	3	2	1	4
2009-04-03	Friday	MjAwOTEyMTcwMTMwNzA=	3	2	1	2	0
2009-04-10	Friday	MjAwOTEyMTcwMTMwNzA=	2	2	0	0	2
2009-04-17	Friday	MjAwOTEyMTcwMTMwNzA=	2	2	1	5	1
2009-04-24	Friday	MjAwOTEyMTcwMTMwNzA=	3	4	3	3	2
2009-05-01	Friday	MjAwOTEyMTcwMTMwNzA=	0	1	3	2	3
2009-05-08	Friday	MjAwOTEyMTcwMTMwNzA=	4	2	4	1	2
2009-05-15	Friday	MjAwOTEyMTcwMTMwNzA=	3	5	1	4	5
2009-05-22	Friday	MjAwOTEyMTcwMTMwNzA=	3	1	2	3	0
2009-05-29	Friday	MjAwOTEyMTcwMTMwNzA=	4	5	3	2	1
2009-06-05	Friday	MjAwOTEyMTcwMTMwNzA=	2	4	0	2	2
